Record ID,Data de criação,Data da última modificação,Data da última atividade,Data de fechamento,Etapa do negócio,Valor,Valor do contrato anual,Receita anual recorrente,Valor total do contrato,Valor previsto,Valor na moeda da empresa,Valor do negócio projetado na moeda local,Valor do negócio projetado,Motivo de fechamento perdido,Data da próxima atividade,Nome da empresa,Nome do negócio completo,Setor,ultima_etapa,Nome do negócio
4610570597,2021-03-10 17:19,2023-05-10 16:59,2021-06-28 10:02,2021-04-08 14:52,Cliente,11000.0,,,,11000.0,11000.0,11000.0,11000.0,,,EUROFARMA,Eurofarma,Farmacêutica ,Cliente,Eurofarma - Fortice
4608132510,2021-03-10 09:34,2023-07-19 15:23,2021-03-24 10:01,2021-04-19 10:08,Negócio perdido,,,,,,,,,Saiu da Empresa,,VIVARA,Vivara,Varejo ,Agendamento_Aceito,Vivara
4577929902,2021-03-08 15:38,2023-04-06 17:52,2022-03-11 16:57,2021-04-27 11:33,Negócio perdido,354988.44,,,,354988.44,354988.44,0.0,0.0,Financeiro,,EVONIK,Evonik,Produtos químicos,Proposta,Evonik - Novo negócio
4531467448,2021-03-05 19:52,2023-04-06 17:52,2021-03-19 16:00,2021-04-27 11:30,Negócio perdido,,,,,,,,,Sumiu,,AMBEV,Ambev,Alimentos e bebidas,Agendamentos,Ambev
4269224969,2021-02-21 20:04,2023-04-06 17:52,2022-11-10 13:27,2021-05-07 09:26,Cliente,174000.0,,,,174000.0,174000.0,174000.0,174000.0,,,STOLLER DO,Stoller,Agricultura,Cliente,Stoller - Renovação
4181316962,2021-02-18 22:48,2023-04-06 17:52,2021-05-12 17:09,2021-05-12 17:10,Negócio perdido,166324.2,,,,166324.2,166324.2,0.0,0.0,Fechou com Concorrente,,DENSO,DENSO,Automotivo,Proposta,DENSO - Concorrência
4169278268,2021-02-17 15:39,2023-04-06 17:52,2021-05-12 17:09,2021-03-29 17:22,Negócio perdido,12770.3,,,,12770.3,12770.3,0.0,0.0,Fechou com Concorrente,,DENSO,Denso,Automotivo,Proposta,Denso - Criação KV
4127018290,2021-02-10 20:50,2023-04-06 17:52,2021-05-11 11:37,2021-03-18 21:53,Negócio perdido,85138.57,,,,85138.57,85138.57,0.0,0.0,Sumiu,,CARGILL,Cargill,Produção de alimentos,Proposta,Cargill - Vídeos LatAm
4120219333,2021-02-09 11:52,2023-04-06 17:52,2022-05-16 20:31,2021-03-18 21:51,Negócio perdido,40139.28,,,,40139.28,40139.28,0.0,0.0,Financeiro,,BARRY CALLEBAUT,Barry Callebaut,Produção de alimentos,Proposta,Barry Callebaut - Dashboards
4070221690,2021-02-01 15:09,2023-03-09 14:36,2021-11-10 16:52,2022-03-11 16:59,Negócio perdido,361949.76,,,,361949.76,361949.76,0.0,0.0,Saiu da Empresa,,SUPERCAMPO,Supercampo,Agricultura ,Cliente,Supercampo
4014966192,2021-01-19 22:56,2023-05-10 16:59,2021-03-22 21:48,2021-03-29 21:21,Cliente,7286.0,,,,7286.0,7286.0,7286.0,7286.0,,,EUROFARMA,Eurofarma,Farmacêutica ,Cliente,Eurofarma - AltaD
4011819536,2021-01-19 12:58,2023-07-20 11:51,2021-06-07 14:10,2021-03-18 21:52,Negócio perdido,,,,,,,,,Maturação,,VOLVO,Volvo,Automotivo,Diagnostico,Volvo - E-commerce
3453054574,2020-11-20 14:31,2023-04-06 17:52,2022-02-23 16:37,2021-01-12 14:41,Negócio perdido,93070.04,,,,93070.04,93070.04,0.0,0.0,Fechou com Concorrente,,INTERNATIONAL COMMITTEE,International Committee of the Red Cross,Organização cívica e social,Proposta,International Committee of the Red Cross - Novo negócio
3362452546,2020-11-10 16:08,2023-04-06 17:52,2022-07-27 11:10,2021-01-12 14:33,Negócio perdido,189838.68,,,,189838.68,189838.68,0.0,0.0,Não era decisor,,FUNDAÇÃO ESTUDAR,Fundação Estudar,Gestão de organizações sem fins lucrativos,Cliente,Fundação Estudar - Novo negócio
3269625040,2020-10-29 17:27,2023-05-10 16:59,2021-06-28 10:02,2021-02-01 12:27,Negócio perdido,60000.0,,,,60000.0,60000.0,0.0,0.0,Fechou com Concorrente,,EUROFARMA,Eurofarma,Farmacêutica ,Proposta,Eurofarma - Cogmax
3142655559,2020-10-13 12:50,2023-04-06 17:52,2021-02-25 12:54,2021-02-25 12:40,Negócio perdido,192268.08,,,,192268.08,192268.08,0.0,0.0,Nós Declinamos,,EMBRAMACO,Embramaco,Materiais de construção,Proposta,Embramaco - Consulting
3086522280,2020-10-08 14:56,2023-05-10 17:00,2020-10-08 15:26,2021-01-12 14:34,Negócio perdido,20964.0,,,,20964.0,20964.0,0.0,0.0,Não era decisor,,EUROFARMA,Eurofarma,Farmacêutica ,Cliente,Eurofarma - Programática
2980707361,2020-09-23 11:44,2023-04-06 17:52,2020-09-28 14:09,2020-09-25 18:10,Cliente,8459.15,,,,8459.15,8459.15,8459.15,8459.15,,,THYSSENKRUPP SPRINGS,thyssenkrupp Springs & Stabilizers,Mineração e metais,Cliente,thyssenkrupp Springs & Stabilizers
2459718282,2020-07-21 14:17,2023-03-09 14:37,2021-01-28 17:00,2022-09-21 17:53,Negócio perdido,993341.96,,,,993341.96,993341.96,0.0,0.0,Desinteresse/Declinou; Sumiu,,UNIVERSIDADE DE,Universidade de São Paulo,Ensino superior,Negocios_Criados,Universidade de São Paulo - Novo negócio
14196370523,2023-07-17 15:22,2023-07-17 15:22,2023-07-17 15:22,,Agendamentos (MQL),,,,,,,,,,,,Negócio Dentsply Sirona - Paula,,Agendamentos,Negócio Dentsply Sirona - Paula
14058826584,2023-07-11 10:36,2023-07-11 10:38,2023-07-11 10:36,,Agendamentos (MQL),,,,,,,,,,,, Kärcher,Maquinário ,Agendamentos,Negócio Kärcher - Davi
14046310302,2023-07-10 14:59,2023-07-19 14:56,2023-07-13 09:30,,Agendamentos Aceitos (SAL),,,,,,,,,,,,MRV&Co,,Agendamento_Aceito,MRV&Co
14044264861,2023-07-10 11:28,2023-07-10 15:01,2023-07-10 11:28,2023-07-10 15:01,Negócio perdido,,,,,,,,,Timing,,,Negócio Bombril - Gustavo,,Agendamentos,Negócio Bombril - Gustavo
13971262043,2023-07-03 00:00,2023-07-21 09:50,2023-07-20 18:59,,Proposta Enviada (SQL),300000.0,,,,300000.0,300000.0,150000.0,150000.0,,,,Dalben,Varejo ,Agendamento_Aceito,Dalben
13834896405,2023-06-23 15:11,2023-06-30 10:06,2023-06-27 11:23,,Agendamentos Aceitos (SAL),,,,,,,,,,,,Condor Super Center,,Agendamento_Aceito,Condor Super Center
13128409450,2023-04-24 22:39,2023-07-19 11:11,2023-04-28 08:01,,Negócio perdido,,,,,,,,,Nós Declinamos; Financeiro,,,Banco Carrefour,,Agendamento_Aceito,Banco Carrefour
12972876903,2023-04-13 16:08,2023-07-17 22:58,2023-05-29 09:24,,Agendamentos (MQL),,,,,,,,,,,,Negócio Jacto - Arêta,,Agendamentos,Negócio Jacto - Arêta
12972551455,2023-04-13 14:25,2023-05-30 17:58,2023-04-13 14:25,,Agendamentos (MQL),,,,,,,,,,,, Grupo Bertolini,Mobília ,Agendamentos,Negócio Grupo Bertolini - Diego
13265384065,2023-04-08 00:00,2023-05-30 23:37,2023-05-29 13:30,,Contrato Enviado,200000.0,,,,200000.0,200000.0,190000.0,190000.0,,,,IAS,Segurança e investigações ,Proposta,IAS
13514421933,2023-02-28 00:00,2023-07-16 23:55,2023-05-29 16:30,,Contrato Enviado,921850.0,,,,921850.0,921850.0,875757.5,875757.5,,,,Citrosuco Renovação ,Alimentos e bebidas ,Negocios_Criados,Citrosuco Renovação 
12330851164,2023-02-27 14:43,2023-03-09 14:36,2023-03-06 10:30,,Agendamentos (MQL),,,,,,,,,,,,Negócio ITX Gamer - Ana Lu,,Agendamentos,Negócio ITX Gamer - Ana Lu
12086241635,2023-02-09 12:17,2023-05-30 17:58,2023-04-13 14:28,,Agendamentos (MQL),,,,,,,,,,,, Vibra,Logística e cadeia de suprimento ,Agendamento_Aceito,Negócio Vibra - Sergio
12053554105,2023-02-07 16:22,2023-05-30 17:58,2023-02-13 09:31,,Agendamentos (MQL),,,,,,,,,,,, Amaggi,Agricultura ,Agendamentos,Negócio Amaggi - Renê
12053254730,2023-02-07 16:21,2023-05-30 17:58,2023-02-07 16:21,,Agendamentos (MQL),,,,,,,,,,,, Amaggi,Agricultura ,Agendamentos,Negócio Amaggi - Erika
11995742584,2023-02-02 18:59,2023-05-30 17:58,2023-02-02 18:59,,Agendamentos (MQL),,,,,,,,,,,,Negócio JLL - Helder,,Agendamentos,Negócio JLL - Helder
11995618419,2023-02-02 18:51,2023-05-30 17:58,2023-02-02 18:51,,Agendamentos (MQL),,,,,,,,,,,, RANDON S.A.,Automotivo ,Agendamentos,Negócio RANDON S.A. - Sheila
11995548005,2023-02-02 18:46,2023-05-30 17:58,2023-02-02 18:46,,Agendamentos (MQL),,,,,,,,,,,, Ottobock,"Saúde, bem-estar e fitness ",Agendamentos,Negócio Ottobock - Rebeca
11961457848,2023-02-01 09:02,2023-06-01 16:54,2023-05-09 10:17,2023-02-28 09:01,Negócio perdido,,,,,,,,,Timing; Nós Declinamos,,,Imply Rental,,Proposta,Imply Rental
13515773783,2023-01-30 00:00,2023-07-16 23:56,2023-05-30 23:43,,Negociação,275000.0,,,,275000.0,275000.0,192500.0,192500.0,,,,MRS,Transporte/caminhões/ferrovias ,Negocios_Criados,MRS
