Record ID;Data de criação;Data da última modificação;Data da última atividade;Data de fechamento;Etapa do negócio;Valor;Valor do contrato anual;Receita anual recorrente;Valor total do contrato;Valor previsto;Valor na moeda da empresa;Valor do negócio projetado na moeda local;Valor do negócio projetado;Motivo de fechamento perdido;Data da próxima atividade;Nome da empresa;Nome do negócio completo;Setor;ultima_etapa;Nome do negócio;Cliente;agendamento;diag;proposta;contrato;cliente
12776263680;2023-03-29T10:26:00Z;2023-07-19T15:11:00Z;2023-03-28T14:30:00Z;2023-03-31T10:26:00Z;Negócio perdido;720000,00;NA;NA;NA;720000,00;720000,00;0,00;0,00;"Financeiro; Fechou com Concorrente; Desinteresse/Declinou";NA;EUROCHEM;Eurochem;Produtos químicos;Proposta;Eurochem;Nao;NA;NA;NA;NA;NA
12754190484;2023-03-28T18:00:00Z;2023-07-04T16:54:00Z;2023-04-04T15:52:00Z;NA;Negócio perdido;NA;NA;NA;NA;NA;NA;NA;NA;Financeiro;NA;ISLA SEMENTES;Isla Sementes;Serviços financeiros;Agendamento_Aceito;Isla Sementes;Nao;NA;NA;NA;NA;NA
12753468273;2023-03-28T16:05:00Z;2023-06-01T16:53:00Z;2023-04-25T12:04:00Z;NA;Negócio perdido;NA;NA;NA;NA;NA;NA;NA;NA;Financeiro;NA;SPORT CLUB;Sport Club Internacional;Esportes;Diagnostico;Sport Club Internacional;Nao;NA;NA;NA;NA;NA
12688511828;2023-03-23T12:58:00Z;2023-07-04T16:52:00Z;2023-03-27T15:27:00Z;NA;Negócio perdido;NA;NA;NA;NA;NA;NA;NA;NA;"Maturação; Timing";NA;VERDE AGRITECH;Verde AgriTech;Agricultura;Agendamento_Aceito;Verde AgriTech;Nao;NA;NA;NA;NA;NA
12627287415;2023-03-20T14:41:00Z;2023-06-01T16:54:00Z;2023-05-03T09:10:00Z;2023-03-31T14:40:00Z;Negócio perdido;NA;NA;NA;NA;NA;NA;NA;NA;"Fechou com Concorrente; Financeiro";NA;GDM SEEDS;GDM Seeds;NA;Proposta;GDM Seeds;Nao;NA;NA;NA;NA;NA
14266787179;2023-03-16T12:33:00Z;2023-07-24T09:40:00Z;2023-07-24T09:40:00Z;2023-07-31T12:32:00Z;Diagnóstico;147563,17;NA;NA;NA;147563,17;147563,17;59025268,00;59025268,00;NA;NA;SANTANDER;Santander - Novo Negócio;Bancário;Contato;Santander - Novo Negócio;Nao;NA;NA;NA;NA;NA
12431223324;2023-03-07T10:01:00Z;2023-06-15T13:29:00Z;2023-03-15T10:22:00Z;NA;Agendamentos Aceitos (SAL);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;JOHN DEERE;John Deere;Maquinário;Agendamento_Aceito;John Deere;Nao;NA;NA;NA;NA;NA
12334431491;2023-02-27T18:59:00Z;2023-07-19T14:44:00Z;2023-03-09T16:36:00Z;NA;Negócio perdido;NA;NA;NA;NA;NA;NA;NA;NA;"Não é ICP; Maturação";NA;RESERVASVOTORANTIM;Reservas Votorantim;Atacado;Agendamento_Aceito;Reservas Votorantim;Nao;NA;NA;NA;NA;NA
12268878875;2023-02-22T12:30:00Z;2023-07-04T16:51:00Z;2023-03-01T11:34:00Z;NA;Negócio perdido;NA;NA;NA;NA;NA;NA;NA;NA;Financeiro;NA;VIBRA RESIDENCIAL;Vitta Residencial;NA;Agendamento_Aceito;Vitta Residencial;Nao;NA;NA;NA;NA;NA
12135020909;2023-02-13T08:59:00Z;2023-07-19T15:24:00Z;2023-03-18T10:02:00Z;NA;Negócio perdido;NA;NA;NA;NA;NA;NA;NA;NA;"Fechou com Concorrente; Maturação; Financeiro";NA;GRUPO SALTA;Grupo Salta Educação;NA;Diagnostico;Grupo Salta Educação;Nao;NA;NA;NA;NA;NA
12087770387;2023-02-09T12:44:00Z;2023-05-02T03:00:00Z;2023-02-09T15:46:00Z;NA;Negócio perdido;NA;NA;NA;NA;NA;NA;NA;NA;"Timing; Maturação";NA;GRUPO BERTOLINI;Grupo Bertolini ;Mobília;Agendamento_Aceito;Grupo Bertolini ;Nao;NA;NA;NA;NA;NA
12070187587;2023-02-08T14:33:00Z;2023-07-19T15:38:00Z;2023-05-15T11:52:00Z;NA;Negócio perdido;NA;NA;NA;NA;NA;NA;NA;NA;"Maturação; Timing; Desinteresse/Declinou";NA;LOJAS BENOIT;Lojas Benoit;Varejo;Agendamento_Aceito;Lojas Benoit;Nao;NA;NA;NA;NA;NA
12536215896;2023-01-14T00:00:00Z;2023-07-04T16:55:00Z;2023-03-08T14:30:00Z;NA;Negócio perdido;324000,00;NA;NA;NA;324000,00;324000,00;0,00;0,00;"Maturação; Financeiro; Timing";NA;FORT ATACADISTA;Dom Atacadista;NA;Proposta;Dom Atacadista;Nao;NA;NA;NA;NA;NA
11646251827;2023-01-10T09:48:00Z;2023-07-20T11:43:00Z;2023-02-16T15:30:00Z;NA;Negócio perdido;NA;NA;NA;NA;NA;NA;NA;NA;"Sumiu; Financeiro";NA;DVA;DVA;Atacado;Diagnostico;DVA;Nao;NA;NA;NA;NA;NA
12100866664;2023-01-08T00:00:00Z;2023-03-09T14:36:00Z;2023-02-03T16:00:00Z;NA;Agendamentos Aceitos (SAL);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TEMBICI;Tembici;Esportes;Agendamento_Aceito;Tembici;Nao;NA;NA;NA;NA;NA
11557498281;2023-01-02T18:08:00Z;2023-04-03T09:34:00Z;2023-01-13T10:00:00Z;NA;Negócio perdido;NA;NA;NA;NA;NA;NA;NA;NA;Nós Declinamos;NA;CONVERSE;Converse;Vestuário e moda;Agendamento_Aceito;Converse;Nao;NA;NA;NA;NA;NA
11369948255;2022-12-16T13:57:00Z;2023-04-03T09:39:00Z;2023-02-03T19:17:00Z;2022-12-31T13:57:00Z;Negócio perdido;NA;NA;NA;NA;NA;NA;NA;NA;"Financeiro; Desinteresse/Declinou";NA;LOTS GROUP;LOTS Group;Transporte/caminhões/ferrovias;Proposta;LOTS Group;Nao;NA;NA;NA;NA;NA
11266793340;2022-12-08T08:55:00Z;2023-05-30T15:49:00Z;2023-05-30T15:49:00Z;2022-12-31T08:54:00Z;Negócio perdido;NA;NA;NA;NA;NA;NA;NA;NA;Sumiu;NA;SUPER PRIX;SuperPrix;Varejo;Agendamentos;SuperPrix;Nao;NA;NA;NA;NA;NA
11234907490;2022-12-06T10:03:00Z;2023-03-09T14:37:00Z;2022-12-06T10:28:00Z;2022-12-31T10:02:00Z;Negócio perdido;NA;NA;NA;NA;NA;NA;NA;NA;Não é ICP;NA;FINTECHMAGALU;Fintechmagalu;NA;Negocios_Criados;Fintechmagalu;Nao;NA;NA;NA;NA;NA
11156847374;2022-11-30T08:56:00Z;2023-04-12T09:52:00Z;2022-11-30T09:23:00Z;2022-11-30T08:55:00Z;Negócio perdido;NA;NA;NA;NA;NA;NA;NA;NA;"Timing; Desinteresse/Declinou";NA;BRF;BRF;Produção de alimentos;Agendamento_Aceito;BRF;Nao;NA;NA;NA;NA;NA
11146533800;2022-11-29T17:14:00Z;2023-06-21T19:48:00Z;2022-12-13T09:37:00Z;NA;Negócio perdido;NA;NA;NA;NA;NA;NA;NA;NA;Saiu da Empresa;NA;BANCO NEON;Banco next;Serviços financeiros;Agendamentos;Banco next;Nao;NA;NA;NA;NA;NA
11074697233;2022-11-24T11:14:00Z;2023-07-20T11:09:00Z;2023-01-10T10:00:00Z;NA;Negócio perdido;NA;NA;NA;NA;NA;NA;NA;NA;"Timing; Maturação";NA;CARREFOUR;Carrefour;Varejo;Diagnostico;Carrefour;Nao;NA;NA;NA;NA;NA
11070312612;2022-11-23T21:27:00Z;2023-04-03T09:40:00Z;2022-12-01T09:04:00Z;NA;Negócio perdido;NA;NA;NA;NA;NA;NA;NA;NA;Nós Declinamos;NA;GRUPO AGRO;Grupo ATTO;Agricultura;Agendamentos;Grupo ATTO;Nao;NA;NA;NA;NA;NA
11067648141;2022-11-23T18:01:00Z;2023-05-30T17:58:00Z;2022-12-02T11:25:00Z;2022-11-30T18:00:00Z;Negócio perdido;NA;NA;NA;NA;NA;NA;NA;NA;Financeiro;NA;ÁGUA DE;Agua de cheiro;NA;Negocios_Criados;Agua de cheiro;Nao;NA;NA;NA;NA;NA
11027456697;2022-11-21T10:27:00Z;2023-07-19T15:02:00Z;2022-11-25T10:10:00Z;NA;Agendamentos (MQL);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;RENNOVA;Rennova;Biotecnologia;Agendamento_Aceito;Rennova;Nao;NA;NA;NA;NA;NA
10994423655;2022-11-18T09:54:00Z;2023-07-19T15:28:00Z;2022-11-22T10:13:00Z;NA;Negócio perdido;NA;NA;NA;NA;NA;NA;NA;NA;"Maturação; Timing";NA;SARA;Stara;Agricultura;Agendamento_Aceito;Stara;Nao;NA;NA;NA;NA;NA
