"Record ID","Nome do negócio","Data de criação","Data da última modificação","Data da última atividade","Data de fechamento","Etapa do negócio","Valor","Valor do contrato anual","Receita anual recorrente","Valor total do contrato","Valor previsto","Valor na moeda da empresa","Valor do negócio projetado na moeda local","Valor do negócio projetado","Motivo de fechamento perdido","Data da próxima atividade"
"9943275788","Arlan","2022-08-26 11:53","2023-05-30 17:58","2022-09-27 16:00","","Agendamentos (MQL)","","","","","","","","","",""
"9942666548","PepsiCo","2022-08-26 09:52","2023-05-25 22:36","2022-10-10 11:36","","Agendamentos (MQL)","","","","","","","","","",""
"9922745002","Foco Aluguel de Carro","2022-08-24 16:55","2023-07-19 14:58","2022-10-03 17:41","","Negócio perdido","","","","","","","","","Financeiro; Timing",""
"9910334978","Grupo Líder","2022-08-23 15:08","2023-07-19 15:07","2022-10-26 15:30","","Negócio perdido","","","","","","","","","Não é ICP",""
"9907461386","We Pink","2022-08-23 11:32","2023-03-30 17:08","2022-08-23 14:47","","Negócio perdido","","","","","","","","","Não é ICP",""
"9892494180","JBS","2022-08-22 08:28","2023-06-26 10:51","2023-04-12 15:00","","Proposta Enviada (SQL)","","","","","","","","","",""
"9892391035","Bayer Pharmaceuticals","2022-08-22 08:28","2023-04-03 09:31","2022-08-23 14:30","","Negócio perdido","","","","","","","","","Não é ICP",""
"9872374867"," Petz - Retomada","2022-08-19 17:03","2023-07-19 15:20","2023-03-20 09:30","","Negócio perdido","","","","","","","","","Desinteresse/Declinou; Timing",""
"9850189662","Lupo","2022-08-17 15:15","2023-07-17 23:00","2023-05-04 14:01","","Negócio perdido","","","","","","","","","Maturação",""
"9849094535","Natura&CO","2022-08-17 14:05","2023-04-03 09:40","2022-10-11 09:40","","Negócio perdido","","","","","","","","","Maturação; Timing",""
"9781871227","Hospital Sírio-Libanês","2022-08-10 15:12","2023-06-28 14:35","2022-10-06 14:41","2023-03-21 11:54","Cliente","390961.92","","","","390961.92","390961.92","390961.92","390961.92","",""
"9767065765","Digio - Upsell III","2022-08-09 09:24","2023-03-13 15:18","2022-09-13 09:29","2022-08-31 09:24","Negócio perdido","9142.1","","","","9142.1","9142.1","0.0","0.0","Desinteresse/Declinou",""
"9694270742","Mart Minas - Renovação 50%","2022-08-03 23:52","2023-03-09 14:36","2022-10-04 15:03","2022-09-07 21:28","Cliente","404911.98","","","","404911.98","404911.98","404911.98","404911.98","",""
"9691251818","Zoop","2022-08-03 14:24","2023-07-19 14:47","2022-08-11 14:31","","Negócio perdido","","","","","","","","","Timing; Saiu da Empresa; Não é ICP; Financeiro",""
"9671392000","Grupo Multitécnica","2022-08-01 22:26","2023-04-03 09:32","2022-09-16 11:29","","Negócio perdido","","","","","","","","","Financeiro; Nós Declinamos",""
"9556284505","Ultragaz","2022-07-21 15:29","2023-03-09 14:36","2022-08-02 16:28","2022-10-07 14:44","Negócio perdido","","","","","","","","","Não é ICP",""
"9554698256","Grupo Oncoclinicas","2022-07-21 12:54","2023-03-09 14:36","2022-08-11 15:33","","Negócio perdido","","","","","","","","","Timing; Maturação",""
"9535985760","WAP","2022-07-19 17:08","2023-07-20 11:12","2022-07-22 14:27","","Negócio perdido","","","","","","","","","Financeiro; Timing",""
"9534720436","Chopp Brahma Express","2022-07-19 14:08","2023-07-20 11:33","2023-05-10 17:21","","Negócio perdido","","","","","","","","","Maturação; Desinteresse/Declinou; Timing",""
"9533639733","Moura Dubeux","2022-07-19 11:37","2023-04-03 09:30","2022-07-26 09:00","","Negócio perdido","","","","","","","","","Sumiu; Nós Declinamos",""
"9714001725","Prime Cursos II  Upsell","2022-07-15 11:49","2023-03-09 14:36","2022-08-12 09:00","2022-08-31 11:47","Negócio perdido","","","","","","","","","Desinteresse/Declinou; Timing",""
"9492773640","Pamplona Alimentos","2022-07-14 08:20","2023-03-09 14:36","2022-09-23 12:38","2022-10-19 18:30","Negócio perdido","622968.24","","","","622968.24","622968.24","0.0","0.0","Timing",""
"9458850179","Renault","2022-07-11 11:43","2023-03-13 15:18","2022-08-11 09:00","","Negócio perdido","","","","","","","","","Saiu da Empresa; Sumiu",""
"9435779855","Mallory Eletroportáteis ","2022-07-08 15:22","2023-06-01 10:16","2022-08-30 15:10","","Negócio perdido","","","","","","","","","Financeiro",""
"9434955293","Embelleze","2022-07-07 12:09","2023-07-13 09:41","2022-08-12 10:36","2022-07-31 12:03","Negócio perdido","","","","","","","","","Nós Declinamos",""
"9403380807","BRB - Banco de Brasília","2022-07-05 16:11","2023-07-20 11:54","2023-05-15 10:42","","Negócio perdido","","","","","","","","","Maturação; Timing; Desinteresse/Declinou",""
"9367902616","Digio Upsell III","2022-07-01 17:45","2023-03-13 15:17","2022-09-13 09:29","2022-07-01 17:48","Cliente","10145.28","","","","10145.28","10145.28","10145.28","10145.28","",""
"9342483878","Alper Seguros","2022-06-29 10:46","2023-03-13 15:16","2022-09-15 11:28","","Negócio perdido","","","","","","","","","Desinteresse/Declinou; Financeiro",""
"9335197262","Mosaic Brasil","2022-06-28 16:26","2023-03-09 14:36","2022-07-18 15:00","2022-08-10 13:41","Negócio perdido","","","","","","","","","Fechou com Concorrente; Financeiro",""
"9335038859","Cencosud","2022-06-28 16:26","2023-03-09 14:36","2022-07-21 15:15","","Negociação","950000.0","","","","950000.0","950000.0","665000.0","665000.0","",""
"9321003094"," Jacto","2022-06-27 15:25","2023-07-17 22:58","2022-10-03 17:40","","Negócio perdido","","","","","","","","","Maturação",""
"9320851333","Sonda Supermercados","2022-06-27 15:17","2023-07-19 15:26","2023-05-02 10:23","2022-08-10 13:43","Negócio perdido","","","","","","","","","Sumiu; Não é ICP",""
"9266863369","Leite de Rosas","2022-06-21 18:39","2023-03-09 14:36","2022-07-15 16:00","","Negócio perdido","","","","","","","","","Desinteresse/Declinou; Sumiu",""
"9152980401","Oracle | GA4","2022-06-10 10:06","2023-04-03 09:31","2022-08-09 16:15","","Negócio perdido","","","","","","","","","Não é ICP",""
"9145229174","Ayumi Supermercados","2022-06-09 18:22","2023-03-09 14:36","2022-06-22 10:46","2022-08-10 13:39","Negócio perdido","","","","","","","","","Financeiro; Maturação",""
