Record ID;Nome do negócio;Data de criação;Data de fechamento;Etapa do negócio;Valor_x;Valor do contrato anual_x;Receita anual recorrente;Valor total do contrato;Valor previsto;Valor na moeda da empresa;Valor do negócio projetado na moeda local;Valor do negócio projetado;Motivo de fechamento perdido_x;Negocios_Criados;Pipeline;Agendamentos;Agendamento_Aceito;Diagnostico;Proposta;Cliente;Valor_y;Valor do contrato anual_y;Motivo de fechamento perdido_y;Nome da empresa;Setor
12070187587;LOJAS BENOIT;2023-02-08 14:33;;Negócio perdido;;;;;;;;;"Maturação; Timing; Desinteresse/Declinou";Sim;Enterprise - Macfor Dealflow;Sim;Sim;Nao;Nao;Nao;;;"Maturação; Timing; Desinteresse/Declinou";LOJAS BENOIT;
12536215896;DOM ATACADISTA;2023-01-14 00:00;;Negócio perdido;324000.0;;;;324000.0;324000.0;0.0;0.0;"Maturação; Financeiro; Timing";Sim;Enterprise - Macfor Dealflow;Sim;Sim;Sim;Sim;Nao;324000.0;;"Maturação; Financeiro; Timing";FORT ATACADISTA;
11646251827;DVA;2023-01-10 09:48;;Negócio perdido;;;;;;;;;"Sumiu; Financeiro";Sim;Enterprise - Macfor Dealflow;Sim;Sim;Sim;Nao;Nao;;;"Sumiu; Financeiro";DVA;Atacado
12100866664;TEMBICI;2023-01-08 00:00;;Agendamentos Aceitos (SAL);;;;;;;;;;Sim;Enterprise - Macfor Dealflow;Sim;Sim;Nao;Nao;Nao;;;;TEMBICI;
11557498281;CONVERSE;2023-01-02 18:08;;Negócio perdido;;;;;;;;;Nós Declinamos;Sim;Enterprise - Macfor Dealflow;Sim;Sim;Nao;Nao;Nao;;;Nós Declinamos;CONVERSE;Vestuário e moda
11369948255;LOTS GROUP;2022-12-16 13:57;2022-12-31 13:57;Negócio perdido;;;;;;;;;"Financeiro; Desinteresse/Declinou";Sim;Enterprise - Macfor Dealflow;Sim;Sim;Sim;Sim;Nao;;;"Financeiro; Desinteresse/Declinou";LOTS GROUP;Transporte/caminhões/ferrovias
11266793340;SUPERPRIX;2022-12-08 08:55;2022-12-31 08:54;Negócio perdido;;;;;;;;;Sumiu;Sim;Enterprise - Macfor Dealflow;Sim;Nao;Nao;Nao;Nao;;;Sumiu;SUPER PRIX;
11234907490;FINTECHMAGALU;2022-12-06 10:03;2022-12-31 10:02;Negócio perdido;;;;;;;;;Não é ICP;Sim;Enterprise - Macfor Dealflow;Nao;Nao;Nao;Nao;Nao;;;Não é ICP;FINTECHMAGALU;
11156847374;BRF;2022-11-30 08:56;2022-11-30 08:55;Negócio perdido;;;;;;;;;"Timing; Desinteresse/Declinou";Sim;Enterprise - Macfor Dealflow;Sim;Sim;Nao;Nao;Nao;;;"Timing; Desinteresse/Declinou";BRF;Produção de alimentos
11146533800;BANCO NEXT;2022-11-29 17:14;;Negócio perdido;;;;;;;;;Saiu da Empresa;Sim;Enterprise - Macfor Dealflow;Sim;Nao;Nao;Nao;Nao;;;Saiu da Empresa;BANCO NEON;Serviços financeiros
11074697233;CARREFOUR;2022-11-24 11:14;;Negócio perdido;;;;;;;;;"Timing; Maturação";Sim;Enterprise - Macfor Dealflow;Sim;Sim;Sim;Nao;Nao;;;"Timing; Maturação";CARREFOUR;Varejo
11070312612;GRUPO ATTO;2022-11-23 21:27;;Negócio perdido;;;;;;;;;Nós Declinamos;Sim;Enterprise - Macfor Dealflow;Sim;Nao;Nao;Nao;Nao;;;Nós Declinamos;GRUPO AGRO;Agricultura
11067648141;AGUA DE;2022-11-23 18:01;2022-11-30 18:00;Negócio perdido;;;;;;;;;Financeiro;Sim;Enterprise - Macfor Dealflow;Nao;Nao;Nao;Nao;Nao;;;Financeiro;ÁGUA DE;
11027456697;RENNOVA;2022-11-21 10:27;;Agendamentos (MQL);;;;;;;;;;Sim;Enterprise - Macfor Dealflow;Sim;Sim;Nao;Nao;Nao;;;;RENNOVA;
10994423655;STARA;2022-11-18 09:54;;Negócio perdido;;;;;;;;;"Maturação; Timing";Sim;Enterprise - Macfor Dealflow;Sim;Sim;Nao;Nao;Nao;;;"Maturação; Timing";SARA;
10995330926;AGROTOKEN;2022-11-17 11:54;2022-11-30 11:53;Negócio perdido;;;;;;;;;"Fechou com Concorrente; Financeiro";Sim;Enterprise - Macfor Dealflow;Sim;Sim;Sim;Sim;Nao;;;"Fechou com Concorrente; Financeiro";AGROTOKEN;
10980854596;BEBIDAS POTY;2022-11-17 10:46;;Negócio perdido;;;;;;;;;"Timing; Financeiro";Sim;Enterprise - Macfor Dealflow;Sim;Sim;Nao;Nao;Nao;;;"Timing; Financeiro";BEBIDAS POTY;Alimentos e bebidas
10969649465;RUMO;2022-11-16 16:38;2022-11-23 11:30;Negócio perdido;;;;;;;;;"Não é ICP; Financeiro";Sim;Enterprise - Macfor Dealflow;Sim;Nao;Nao;Nao;Nao;;;"Não é ICP; Financeiro";RUMO;
10886978836;EVINO;2022-11-10 16:39;2023-01-20 16:32;Negócio perdido;;;;;;;;;Maturação;Sim;Enterprise - Macfor Dealflow;Sim;Sim;Nao;Nao;Nao;;;Maturação;EVINO;
10859783191;HOSPITAL ALEMÃO;2022-11-08 16:46;;Negócio perdido;;;;;;;;;Saiu da Empresa;Sim;Enterprise - Macfor Dealflow;Sim;Sim;Nao;Nao;Nao;;;Saiu da Empresa;HOSPITAL ALEMÃO;Hospital e cuidados de saúde
10844814487;AD'ORO;2022-11-07 15:23;;Agendamentos (MQL);;;;;;;;;;Sim;Enterprise - Macfor Dealflow;Sim;Nao;Nao;Nao;Nao;;;;AD'ORO;
10677021007;ACCOR;2022-10-24 16:35;;Negócio perdido;;;;;;;;;"Desinteresse/Declinou; Financeiro";Sim;Enterprise - Macfor Dealflow;Sim;Sim;Nao;Nao;Nao;;;"Desinteresse/Declinou; Financeiro";ACCOR;Hotelaria
10630221896;WILEY;2022-10-20 09:43;2022-10-31 09:41;Negócio perdido;;;;;;;;;"Financeiro; Não é ICP";Sim;Enterprise - Macfor Dealflow;Sim;Nao;Nao;Nao;Nao;;;"Financeiro; Não é ICP";WILEY;Publicação
10619139943;NESTLÉ;2022-10-19 16:16;;Negócio perdido;;;;;;;;;"Maturação; Nós Declinamos";Sim;Enterprise - Macfor Dealflow;Sim;Sim;Nao;Nao;Nao;;;"Maturação; Nós Declinamos";NESTLE;Alimentos e bebidas
10615749476;SPRAYTEC;2022-10-18 10:43;2022-10-31 10:42;Negócio perdido;;;;;;;;;Não é ICP;Sim;Enterprise - Macfor Dealflow;Sim;Nao;Nao;Nao;Nao;;;Não é ICP;SPRAY-TEC;
10590690171;ZEN SA;2022-10-17 09:55;;Negócio perdido;;;;;;;;;Não é ICP;Sim;Enterprise - Macfor Dealflow;Sim;Sim;Nao;Nao;Nao;;;Não é ICP;ZEN SA;Automotivo
10358562966;NEW HOLLAND;2022-09-29 15:53;;Negócio perdido;;;;;;;;;"Timing; Maturação";Sim;Enterprise - Macfor Dealflow;Sim;Sim;Sim;Nao;Nao;;;"Timing; Maturação";NEW HOLLAND;Maquinário
10282208687;KUAISHOU;2022-09-22 21:56;;Negócio perdido;;;;;;;;;"Timing; Desinteresse/Declinou";Sim;Enterprise - Macfor Dealflow;Sim;Sim;Nao;Nao;Nao;;;"Timing; Desinteresse/Declinou";KUAISHOU;Software de computador
10268226307;CNN BRASIL;2022-09-21 17:25;;Negócio perdido;;;;;;;;;"Sumiu; Timing";Sim;Enterprise - Macfor Dealflow;Sim;Sim;Nao;Nao;Nao;;;"Sumiu; Timing";CNPBRASIL;
10239355748;NISSAN;2022-09-19 15:09;;Negócio perdido;;;;;;;;;"Maturação; Saiu da Empresa";Sim;Enterprise - Macfor Dealflow;Sim;Sim;Nao;Nao;Nao;;;"Maturação; Saiu da Empresa";NISSAN;Automotivo
10161938786;HONDA;2022-09-12 16:40;;Negócio perdido;;;;;;;;;"Maturação; Desinteresse/Declinou; Timing";Sim;Enterprise - Macfor Dealflow;Sim;Sim;Nao;Nao;Nao;;;"Maturação; Desinteresse/Declinou; Timing";SONDA;Software de computador
10161251850;GAZIN;2022-09-12 16:06;2023-01-20 16:27;Negócio perdido;;;;;;;;;"Sumiu; Desinteresse/Declinou";Sim;Enterprise - Macfor Dealflow;Sim;Sim;Sim;Sim;Nao;;;"Sumiu; Desinteresse/Declinou";GAZIT;
10160287395;DPASCHOAL;2022-09-12 12:24;;Negócio perdido;;;;;;;;;Financeiro;Sim;Enterprise - Macfor Dealflow;Sim;Sim;Nao;Nao;Nao;;;Financeiro;DPASCHOAL;Automotivo
10117266732;TEUTO;2022-09-08 15:00;2023-01-20 16:27;Negócio perdido;;;;;;;;;Financeiro;Sim;Enterprise - Macfor Dealflow;Sim;Sim;Sim;Nao;Nao;;;Financeiro;TEUTO;Farmacêutica
