Record ID,Nome do negócio,Valor na moeda da empresa,Etapa do negócio,Data de criação,Negocios_Criados,Data de fechamento,Pipeline,Agendamentos,Agendamento_Aceito,Diagnostico,Proposta,Cliente,ultima_etapa
8218762164,Medabil,,Negócio perdido,2022-03-14 11:21:54.566,Sim,2022-04-20 12:14:30.263,Enterprise - Macfor Dealflow,Sim,Sim,Nao,Nao,Nao,Agendamento_Aceito
8218716681,Freitas Varejo,,Negócio perdido,2022-03-14 10:55:07.926,Sim,2022-05-09 17:32:38.685,Enterprise - Macfor Dealflow,Sim,Sim,Nao,Nao,Nao,Agendamento_Aceito
8195134813,Hospital Ernesto Dornelles,,Negócio perdido,2022-03-11 09:59:25.417,Sim,2022-05-09 15:35:36.338,Enterprise - Macfor Dealflow,Sim,Sim,Nao,Nao,Nao,Agendamento_Aceito
8188477081,7COMm,,Negócio perdido,2022-03-10 17:34:17.321,Sim,2022-07-01 16:36:58.854,Enterprise - Macfor Dealflow,Sim,Sim,Sim,Nao,Nao,Diagnostico
8184437058,Daki,,Negócio perdido,2022-03-10 10:56:43.447,Sim,2022-04-20 12:18:21.827,Enterprise - Macfor Dealflow,Sim,Sim,Nao,Nao,Nao,Agendamento_Aceito
8184436663,NBCUniversal,,Negócio perdido,2022-03-10 10:54:38.571,Sim,2022-05-31 16:00:35.962,Enterprise - Macfor Dealflow,Sim,Sim,Nao,Nao,Nao,Agendamento_Aceito
8176898414,Grupo OR II - Upsell,,Negócio perdido,2022-03-09 13:43:32.130,Sim,2022-04-20 12:09:29.056,Enterprise - Macfor Dealflow,Nao,Nao,Nao,Nao,Nao,Negocios_Criados
8176775086,Digio II - Upsell (GA + LP + GD),30557.45,Cliente,2022-03-09 13:43:32.130,Sim,2022-06-07 10:41:43.210,Enterprise - Macfor Dealflow,Nao,Nao,Nao,Nao,Nao,Negocios_Criados
8169055888,UnidaSul,,Negócio perdido,2022-03-08 18:23:16.683,Sim,2022-05-17 16:42:45.972,Enterprise - Macfor Dealflow,Sim,Sim,Nao,Nao,Nao,Agendamento_Aceito
8168985964,Tilibra / ACCO Brands,,Negócio perdido,2022-03-08 18:13:35.979,Sim,2022-05-17 16:20:38.021,Enterprise - Macfor Dealflow,Sim,Sim,Sim,Nao,Nao,Diagnostico
8168954119,Deezer,636000.0,Cliente,2022-03-08 17:08:47.337,Sim,2022-07-06 11:54:06.589,Enterprise - Macfor Dealflow,Sim,Sim,Sim,Sim,Sim,Cliente
8166593936,Ceará Sporting Club,,Negócio perdido,2022-03-08 12:17:36.484,Nao,,,Nao,Nao,Nao,Nao,Nao,Contato
8165996143,Liberty Seguros - Affinity,,Negócio perdido,2022-03-08 11:00:37.358,Sim,2022-05-04 14:18:22.316,Enterprise - Macfor Dealflow,Sim,Sim,Sim,Sim,Nao,Proposta
8126020723,ScanSource,,Negócio perdido,2022-03-04 15:57:51.859,Sim,2022-05-17 16:42:35.069,Enterprise - Macfor Dealflow,Sim,Sim,Nao,Nao,Nao,Agendamento_Aceito
8105310560,Languiru,,Negócio perdido,2022-03-02 19:22:26.522,Sim,2022-04-07 10:07:55.705,Enterprise - Macfor Dealflow,Sim,Sim,Nao,Nao,Nao,Agendamento_Aceito
8102366235,Lopes Consultoria de Imóveis,,Negócio perdido,2022-03-02 13:30:02.780,Sim,2022-04-20 12:14:46.319,Enterprise - Macfor Dealflow,Sim,Sim,Nao,Nao,Nao,Agendamento_Aceito
8025843616,MRS II,,Negócio perdido,2022-02-25 16:16:43.828,Sim,2022-03-04 17:07:50.356,Enterprise - Macfor Dealflow,Sim,Sim,Sim,Sim,Nao,Proposta
7993277194,CentralAr.com,,Negócio perdido,2022-02-22 13:37:40.190,Nao,,,Nao,Nao,Nao,Nao,Nao,Contato
